,address,domain,extracted_date,food_category,food_types,link,opinions,min_price,max_price,rating,restaurant_name
0,"Avenida Emilio Castelar 44, Ciudad de M̩xico 11000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena, Bebidas","Vino y cerveza, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24093482-Reviews-Pardela-Mexico_City_Central_Mexico_and_Gulf_Coast.html,2,463.7050452781371,44320.62354463131,5.0,Pardela
1,"AVENIDA SANTA FE 160 AVENIDA SANTA FE 160, Ciudad de M̩xico 01376 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Italiana, Mediterr��nea, Europea, Saludable, Toscana, Romana, De Lacio, Siciliana, Del centro italiano, Del sur italiano","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4035248-Reviews-Quattro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,741,402.0,1004.0,5.0,Quattro Gastronom�_a Italiana
2,"Avenida Paseo de La Reforma 297 Sofitel Mexico City, Ciudad de M̩xico 06500 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Desayuno, Almuerzo, Brunch","Reservaciones, Asiento, Sirve alcohol, Bar completo, Acepta tarjetas de cr̩dito, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20295948-Reviews-Cityzen_Rooftop_Kitchen-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,080",463.7050452781371,44320.62354463131,5.0,Cityzen Rooftop Kitchen
3,"Calzada Acoxpa # 610 Centro Comercial Gran Terraza Coapa locales 101,102,103, Ciudad de M̩xico 14390 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Parrilla, Contempor��nea","Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19078418-Reviews-Porfirio_s_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,643,250.0,600.0,5.0,Porfirio's Coapa
4,"Calle Goldsmith Polanco III Secc. 66 Miguel Hidalgo, Ciudad de M̩xico 11540 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Asi��tica, Tailandesa, Coreana, Fusi�_n",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20158337-Reviews-KYU_MEXICO-Mexico_City_Central_Mexico_and_Gulf_Coast.html,373,1200.0,1800.0,5.0,KYU M��XICO
5,"Av. Presidente Masaryk 294, Colonia Polanco IV, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mariscos, Mediterr��nea, Internacional, Contempor��nea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19246233-Reviews-Taboo_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,693,601.0,801.0,5.0,Taboo Polanco
6,"Tonala 144 Roma Norte Primer Piso, Ciudad de M̩xico 06700 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192705-Reviews-Sake_Sushi_Bar_Roma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Sake Sushi Bar ( Roma )
7,"Avenida Miguel Angel de Quevedo 227 Plaza Oasis, Ciudad de M̩xico 04310 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Argentina, Internacional, Parrilla, Contempor��nea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10330947-Reviews-Cambalache_Plaza_Oasis-Mexico_City_Central_Mexico_and_Gulf_Coast.html,760,500.0,800.0,4.5,Cambalache Plaza Oasis
8,"Avenida Presidente Masaryk, 311 Polanco, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Bar, Mediterr��nea, Griega","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23653334-Reviews-Ilios_Greek_Estiatorio_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,396,700.0,1500.0,5.0,Ilios Greek Estiatorio Polanco
9,"Calle Juan Sanchez Azcona No. 529 Esq. Diagonal San Antonio, Col. Narvarte, Ciudad de M̩xico 03020 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Apto para vegetarianos, Opciones sin gluten","Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8288826-Reviews-Sonora_Grill_Narvarte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,404,463.7050452781371,44320.62354463131,5.0,Sonora Grill Narvarte
10,"Calzada Vallejo 1090 Parque V�_a Vallejo, nivel 2. Sta  Cruz de Las Salinas Azcapotzalco, Ciudad de M̩xico 02340 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Latina, Parrilla, Mexicana","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11727409-Reviews-La_Vicenta_Vallejo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,676,300.0,800.0,5.0,La Vicenta
11,"Calle Calder�_n de la Barca 108 Polanco III Secc, Miguel Hidalgo, Ciudad de M̩xico 11540 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Opciones sin gluten,"Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d22880159-Reviews-Animal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,540,463.7050452781371,44320.62354463131,5.0,Animal
12,"Tonala 144 Roma Norte Primer Piso Entre Zacatecas Y Queretaro, Ciudad de M̩xico 06700 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena","Reservaciones, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192687-Reviews-Bombana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,11,463.7050452781371,44320.62354463131,5.0,Bombana
13,"San Jer�_nimo 24 Centro Historico, Ciudad de M̩xico 06080 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Contempor��nea","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2236379-Reviews-Zefiro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,824,250.0,350.0,5.0,Zefiro
14,"Avenida Division Del Norte, 911 Heriberto Frias, Ciudad de M̩xico 03100 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Latina, Bar","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1071091-Reviews-Parrilla_Urbana_Division_del_Norte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,687,230.0,570.0,4.5,Parrilla Urbana Divisi�_n del Norte
15,"Calle Pedregal 24 Torre Virreyes, Ciudad de M̩xico 11040 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Latina","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13424441-Reviews-Carmela_Y_Sal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,224,13055.0,19081.0,4.5,Carmela Y Sal
16,"AV San Jeronimo 263 Dentro de Plaza Escenaria, Ciudad de M̩xico 01090 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Argentina, Bar, Internacional, Parrilla, Contempor��nea, Pub",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3457963-Reviews-Cambalache_Escenaria-Mexico_City_Central_Mexico_and_Gulf_Coast.html,211,500.0,800.0,4.5,Cambalache Escenaria
17,"Allende 3 Centro Historico, Ciudad de M̩xico 06010 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Latina","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3783138-Reviews-Limosneros-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,163",500.0,700.0,4.5,Limosneros
18,"Campos Eliseos 199-A Polanco, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Latina, Mariscos, Saludable","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2219950-Reviews-Agua_y_Sal_Cebicheria-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,224",502.0,703.0,4.5,Agua y Sal Cebicher�_a
19,"Avenida Paseo de la Reforma Number 250 Juarez, Cuauht̩moc, Ciudad de M̩xico 06600 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Estadounidense,Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4097291-Reviews-The_Capital_Grille-Mexico_City_Central_Mexico_and_Gulf_Coast.html,586,900.0,1000.0,4.5,The Capital Grille
20,"Alfredo Musset # 3 Corner Masaryk Col. Polanco, Ciudad de M̩xico 11540 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Internacional",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d7338620-Reviews-Sonora_Grill_Prime_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,602,900.0,1500.0,4.5,Sonora Grill Prime Masaryk
21,"Avenida Ju��rez 70 dentro del Hotel Hilton, Ciudad de M̩xico 06000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Mexicana,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2689530-Reviews-El_Cardenal_Alameda-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,968",261.0,562.0,4.5,El Cardenal Alameda
22,"Avenida Revoluci�_n 1521 San ́ngel, ́lvaro Obreg�_n, Ciudad de M̩xico 01000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Francesa, Europea, Contempor��nea","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1976755-Reviews-Restaurante_Eloise-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,058",310.0,630.0,4.5,Restaurante Eloise
23,"Av. de la Paz # 32 Col. San ́ngel, Ciudad de M̩xico 01000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten","Desayuno, Almuerzo, Brunch",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2629020-Reviews-El_Cardenal_San_Angel-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,302",463.7050452781371,44320.62354463131,4.5,El Cardenal San ́ngel
24,"Calle Dolores 16 Local C, Colonia Centro, Ciudad de M̩xico 06010 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Mexicana,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8856235-Reviews-Testal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,413,350.0,500.0,4.5,Testal
25,"Palma #23 Centro Historico, Entre 5 De Mayo y Francisco I, Ciudad de M̩xico 06000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d814867-Reviews-Restaurante_El_Cardenal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"6,019",463.7050452781371,44320.62354463131,4.5,Restaurante El Cardenal
26,"Euler 152, Ciudad de M̩xico 11560 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Churrasquer�_a, Parrilla, Mexicana, Bar","Almuerzo, Abierto hasta tarde, Bebidas, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4961135-Reviews-Asaderos_Grill_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,362,100.0,301.0,4.5,Asaderos Grill Polanco
27,"Calle Alejandro Dumas 122 Esq. Presidente Masaryk, Ciudad de M̩xico 11540 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Churrasquer�_a, Argentina, Internacional","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2014777-Reviews-Cambalache_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,532,600.0,800.0,4.5,Cambalache Polanco
28,"Plaza Jard�_n Centenario 12 Colonia Villa Coyoacan, Ciudad de M̩xico 04000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Contempor��nea","Apto para vegetarianos, Opciones veganas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1032645-Reviews-Los_Danzantes_Coyoacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,992,350.0,480.0,4.0,Los Danzantes Coyoac��n
29,"Calle Morelos 7 Progreso Tizap��n, Ciudad de M̩xico 01090 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Internacional,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1976688-Reviews-SCOLA_by_CESSA-Mexico_City_Central_Mexico_and_Gulf_Coast.html,157,580.0,650.0,5.0,SCOLA CESSA
30,"Calle 5 de Mayo 61 Centro Hist�_rico de la Cdad. de M̩xico, Ciudad de M̩xico 06000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Internacional, Fusi�_n, Mexicana, Latina","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1201096-Reviews-Balcon_del_Zocalo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"2,694",150.0,600.0,4.5,El Balc�_n del Zocalo
31,"Av. Canal Tezontle 1512, Dr. Alfonso Ort�_z Tirado Iztapalapa Parque Tezontle, nivel 2, Ciudad de M̩xico 09260 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Churrasquer�_a, Latina, Parrilla","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12310802-Reviews-La_Vicenta_Tezontle-Mexico_City_Central_Mexico_and_Gulf_Coast.html,288,300.0,800.0,5.0,La Vicenta Tezontle
32,"Av. Presidente Masaryk 298, Esquina Arist�_teles, Colonia Polanco IV Esquina con Arist�_teles, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mariscos, Latina, Contempor��nea","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12327530-Reviews-RosaNegra_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"3,008",601.0,801.0,4.5,RosaNegra Polanco
33,"Avenida Insurgentes sur # 803, Ciudad de M̩xico 03840 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Argentina, Internacional, Parrilla, Contempor��nea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2317880-Reviews-La_Rural_Argentina-Mexico_City_Central_Mexico_and_Gulf_Coast.html,233,500.0,800.0,4.5,La Rural Argentina
34,"Calle Pilares 231, Ciudad de M̩xico 03100 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Parrilla, Latina, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4765793-Reviews-Sonora_Grill_Amores-Mexico_City_Central_Mexico_and_Gulf_Coast.html,282,500.0,900.0,4.5,Sonora Grill Amores
35,"Avenida Presidente Masaryk 214, Ciudad de M̩xico 11560 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Churrasquer�_a, Parrilla",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d15795341-Reviews-Entre_Fuegos_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,251,900.0,2000.0,4.5,Entre Fuegos Masaryk
36,"Nueva York 264 Col. N��poles, Ciudad de M̩xico 03840 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Churrasquer�_a, Latina","Apto para vegetarianos, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2558439-Reviews-Sonora_Grill_Napoles-Mexico_City_Central_Mexico_and_Gulf_Coast.html,592,200.0,350.0,4.5,Sonora Grill N��poles
37,"Av. Insurgentes Sur 1458 Col. Del Valle, Ciudad de M̩xico 03230 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Bar de vinos,"Apto para vegetarianos, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d5992672-Reviews-Sonora_Prime_Insurgentes-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,355",700.0,1500.0,4.5,Sonora Grill Prime
38,"Felix Cuevas 905 Col. Del Valle, Ciudad de M̩xico 03200 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Opciones sin gluten,"Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10296195-Reviews-Parilla_Urbana_Felix_Cuevas-Mexico_City_Central_Mexico_and_Gulf_Coast.html,201,463.7050452781371,44320.62354463131,5.0,Parilla Urbana F̩lix Cuevas
39,"Rio Sena 88 Colonia Cuauhtemoc, Ciudad de M̩xico 06500 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Francesa, Saludable, Internacional",Opciones veganas,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1032621-Reviews-Les_Moustaches-Mexico_City_Central_Mexico_and_Gulf_Coast.html,892,803.0,1004.0,4.5,Les Moustaches
40,"Av. Ju��rez #70, Colonia Centro, Centro, Cuauht̩moc Hotel Hilton, Col. Centro, Del. Cuauht̩moc, CDMX, Ciudad de M̩xico 06010 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Bar de vinos, Internacional",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d21059674-Reviews-Sonora_Prime_Centro_Historico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,200,900.0,1500.0,5.0,Sonora Prime Centro Historico
41,"Avenida Coyoacan 1955, Ciudad de M̩xico 14000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Bar","Apto para vegetarianos, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d7220714-Reviews-Sonora_Grill_Coyacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,687",700.0,900.0,4.5,Sonora Grill Coyoac��n
42,"Avenida Santa Fe # 428 Entrada por el parque La Mexicana, Ciudad de M̩xico 01376 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena, Abierto hasta tarde, Bebidas","Comida para llevar, Reservaciones, Asiento, Estacionamiento disponible, Estacionamiento para clientes, Sillitas altas disponibles, Sirve alcohol, Bar completo, Acepta tarjetas de cr̩dito, Servicio de mesa, Entrega a domicilio, Vino y cerveza, Estilo familiar",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d16645663-Reviews-Sonora_Prime_Santa_Fe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,127,18077.0,30128.0,5.0,Sonora Prime Santa Fe
43,"Avenida Presidente Masaryk No 214 Colonia Polanco, Del. Miguel Hidalgo, Ciudad de M̩xico 11560 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Latina, Contempor��nea",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3172720-Reviews-Porfirio_s_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"2,369",700.0,900.0,4.5,Porfirio's Polanco
44,"Av. Santa Fe # 160 Del. ́lvaro Obreg�_n JW Marriott Hotel Mexico City Santa Fe, Ciudad de M̩xico 01219 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Internacional","Apto para vegetarianos, Opciones veganas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13792853-Reviews-CuA_Culinary_Artisans_Restaurant-Mexico_City_Central_Mexico_and_Gulf_Coast.html,175,159.0,400.0,5.0,C̼A Culinary Artisans Restaurant
45,"Avenida Ejercito Nacional Mexicano 769 esquina Moliere, Av Ej̩rcito Nacional, Amp Granada, Ciudad de M̩xico 11520 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Mexicana,"Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10760023-Reviews-Sonora_Grill_Miyana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,231",700.0,900.0,4.5,Sonora Grill Miyana
46,"39C Paseo de la Reforma, Ciudad de M̩xico 06030 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Churrasquer�_a, Parrilla",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d9603616-Reviews-Sonora_Grill_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,814",700.0,900.0,4.5,Sonora Grill Reforma
47,"Calle Emiliano Zapata, Ciudad de M̩xico 06000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Italiana, Pizzer�_a, Europea","Apto para vegetarianos, Opciones veganas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11512915-Reviews-Dalis_pizzeria_italiana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,330,15.0,25.0,5.0,Dalis pizzeria italiana
48,"Avenida Presidente Masaryk 264 Polanco, Ciudad de M̩xico 11560 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Churrasquer�_a, Mariscos, Delicatessen, Contempor��nea, Saludable",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3219975-Reviews-Harry_s_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,189",700.0,1500.0,4.5,Harry's Masaryk
49,"Av. Pdte. Masaryk 275-Local A6 Polanco IV Secc, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13543536-Reviews-Pubbelly_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,427,463.7050452781371,44320.62354463131,4.5,Pubbelly Masaryk
50,"Lomas - Virreyes, Lomas de Chapultepec, 11000 Ciudad de Mexico, CDMX Calle Volcan 150 Frente A WE Work Lomas, Ciudad de M̩xico 11000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Japonesa, Sushi, Mariscos, Saludable, Fusi�_n japonesa","Almuerzo, Cena, Brunch, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d18818612-Reviews-Sake_Sushi_Bar-Mexico_City_Central_Mexico_and_Gulf_Coast.html,13,500.0,1000.0,4.5,Sake Sushi Bar
51,"Av Pdte. Masaryk 111 Col. Polanco, Ciudad de M̩xico 11560 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Japonesa, Sushi, Asi��tica, Saludable, Internacional, Fusi�_n japonesa",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19289467-Reviews-Ryoshi_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,487,300.0,1000.0,5.0,Ryoshi Masaryk
52,"Avenida Paseo de Las Palmas no. 781 Secci�_n 11560, Ciudad de M̩xico 11000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Mexicana,"Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12830857-Reviews-Mochomos-Mexico_City_Central_Mexico_and_Gulf_Coast.html,452,400.0,600.0,4.5,Mochomos
53,"Terminal 2, Aeropuerto Internacional De La Ciudad De Mexico, Ciudad de M̩xico 15620 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Abierto hasta tarde, Bebidas","Comida para llevar, Asiento, Sillitas altas disponibles, Acceso para silla de ruedas, Sirve alcohol, Bar completo, Wi-Fi gratis, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11667203-Reviews-Salute_Food_Bar-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,197",463.7050452781371,44320.62354463131,4.5,Salute Food & Bar
54,"Hamburgo 195, Ju��rez, Cuauht̩moc Hotel Galer�_a Plaza Reforma, Ciudad de M̩xico 06600 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,Mediterr��nea,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8497987-Reviews-Almara-Mexico_City_Central_Mexico_and_Gulf_Coast.html,686,300.0,500.0,5.0,Almara
55,"Av. Pdte. Masaryk 460, Polanco, Polanco III Secc, Miguel Hidalgo, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Churrasquer�_a, Mariscos, Internacional, Parrilla, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23523075-Reviews-Chambao_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,448,501.0,901.0,5.0,Chambao Polanco
56,"Calle Pennsylvania 80 Colonia N��poles, Benito Ju��rez, Ciudad de M̩xico 03810 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Asi��tica, Tailandesa","Almuerzo, Cena, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19283697-Reviews-Thai_Town-Mexico_City_Central_Mexico_and_Gulf_Coast.html,2,150.0,350.0,5.0,Thai Town
57,"Calzada Acoxpa 610, Colonia Villa Coapa, Tlalpan, Ciudad de M̩xico 14390 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Bar, Saludable",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20157621-Reviews-Sonora_Grill_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,745,700.0,900.0,5.0,Sonora Grill Coapa
58,"Av. Emilio Castelar 163, Colonia Polanco III, Ciudad de M̩xico 11540 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Italiana, Contempor��nea, Toscana, Del centro italiano",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23312709-Reviews-Parole_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,553",601.0,801.0,5.0,Parole Polanco
59,"R�_o Lerma 302, Col. Cuauht̩moc Local 1, Ciudad de M̩xico 06500 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Comida r��pida, Contempor��nea, Estadounidense, Saludable","Desayuno, Almuerzo, Cena, Brunch, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23445104-Reviews-Sukka_Burger-Mexico_City_Central_Mexico_and_Gulf_Coast.html,7,130.0,290.0,5.0,Sukka Burger
